(472119, 'COD FILLETS', 'Iron, Fe', 0.64, 'MG')
(472119, 'COD FILLETS', 'Sodium, Na', 268.0, 'MG')
(472119, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(474835, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(474835, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(474835, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(474835, 'COD FILLETS', 'Sodium, Na', 133.0, 'MG')
(474835, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(475465, 'COD FILLET', 'Fiber, total dietary', 0.0, 'G')
(475465, 'COD FILLET', 'Calcium, Ca', 18.0, 'MG')
(475465, 'COD FILLET', 'Iron, Fe', 0.32, 'MG')
(475465, 'COD FILLET', 'Sodium, Na', 53.0, 'MG')
(475465, 'COD FILLET', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(487068, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(487068, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(487068, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(487068, 'COD FILLETS', 'Sodium, Na', 257.0, 'MG')
(487068, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(508496, 'COD FILLETS WITH LEMON PEPPER', 'Fiber, total dietary', 0.4, 'G')
(508496, 'COD FILLETS WITH LEMON PEPPER', 'Calcium, Ca', 9.0, 'MG')
(508496, 'COD FILLETS WITH LEMON PEPPER', 'Iron, Fe', 0.16, 'MG')
(508496, 'COD FILLETS WITH LEMON PEPPER', 'Sodium, Na', 310.0, 'MG')
(508496, 'COD FILLETS WITH LEMON PEPPER', 'Vitamin C, total ascorbic acid', 2.7, 'MG')
(508498, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Fiber, total dietary', 0.8, 'G')
(508498, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Calcium, Ca', 4.0, 'MG')
(508498, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Iron, Fe', 0.07, 'MG')
(508498, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Sodium, Na', 376.0, 'MG')
(508498, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Vitamin C, total ascorbic acid', 1.2, 'MG')
(525041, 'COD', 'Fiber, total dietary', 0.6, 'G')
(525041, 'COD', 'Calcium, Ca', 35.0, 'MG')
(525041, 'COD', 'Iron, Fe', 0.85, 'MG')
(525041, 'COD', 'Sodium, Na', 418.0, 'MG')
(525041, 'COD', 'Vitamin C, total ascorbic acid', 3.5, 'MG')
(530478, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(530478, 'COD LOINS', 'Calcium, Ca', 18.0, 'MG')
(530478, 'COD LOINS', 'Iron, Fe', 0.32, 'MG')
(530478, 'COD LOINS', 'Sodium, Na', 259.0, 'MG')
